entity_name,entity,id
stool ,14854262,1156
chieftainship ,590383,7329
saxony ,8769179,3390
ondatra zibethica ,2338145,13542
founder ,1990168,10538
rose campion ,11812094,15386
enjoyment ,7491708,16120
german shepherd dog ,2106662,6031
quilt ,1667449,22945
wake island ,8838556,18152
raise ,1973759,5472
admiralty ,8349548,37049
opener ,3848348,24914
watchman ,10770059,32519
reducing ,13547513,18846
twaddle ,1036804,40549
yodel ,7123710,30481
apostolic delegate ,9799607,11010
exhilaration ,7528212,18153
latticework ,3646916,15365
lifer ,10261041,14325
mandragora ,12906334,24726
bit ,13625237,20715
dispraise ,1219893,17870
genus bletia ,12046251,21408
silicon valley ,9166902,10041
rush ,1119950,37829
placodermi ,1479937,29195
idolization ,1218766,19516
rhincodontidae ,1487743,36307
taurotragus ,2426634,5550
saddam's martyrs ,8207672,37838
otariidae ,2076535,10069
preachification ,6743230,6229
vena peroneus ,5376844,25608
webb ,11377851,33662
sledgehammer ,3731695,28140
shipyard ,4197235,25944
adequateness ,4792357,11553
third estate ,8168117,15610
redoubt ,4066476,26594
freewheeler ,10109662,32870
union representative ,10738515,9134
sundacarpus ,11659500,34979
baffle board ,2772868,8783
squat ,1545314,35482
jacaranda ,12523475,13574
genus cheiranthus ,11883137,22939
supposition ,5779712,20702
st. lucia ,8988609,15702
wind ,2125223,5061
pyrrhula ,1534034,36540
slezsko ,9166534,5743
ramble ,284409,13143
lobularity ,5064722,34400
family bacteroidaceae ,1364587,24643
leaf beetle ,2169497,40746
school year ,15203565,2023
papal nuncio ,10368113,9517
talwin ,3912664,22020
allometry ,5998356,25060
uterine cervix ,5303232,6487
midwestern united states ,8564307,17391
run up ,1455754,38214
obadiah ,6439712,30489
hemophilia a ,14170772,3066
paridae ,1591490,11591
family crangonidae ,1986538,6231
excite ,558963,32023
surgical contraception ,853487,33321
the alps ,9194357,13292
privatization ,1152033,2000
spade ,1310249,34988
propellent ,14691822,25254
podicipitiformes ,2049299,12601
odocoileus hemionus columbianus ,2432704,21135
noise ,7122730,29781
fate ,746479,6880
no-account ,10135953,26621
staff officer ,10644839,4992
credible ,644839,7696
trench ,4478657,17968
psyche ,5611302,6485
mutation ,7425011,33618
rabat ,8970445,1212
strongbox ,4340750,30164
robert nesta marley ,11157580,26878
sudan ,9029457,34665
symphalangus ,2483564,28886
psephurus ,2639786,36347
victor hugo ,11065345,904
mycosis ,14176895,40824
maltster ,10286855,37938
grownup ,9605289,2770
manchuria ,8722844,18171
bush pea ,12573256,30303
flame nettle ,12844939,22476
ticker ,5388805,34936
sealer ,14705718,40373
rhexia ,12349916,3301
fastener ,10080337,16767
spread out ,2077148,23639
confide ,936465,35344
receptionist ,10511069,14015
rushing ,560293,17876
vidua ,1543272,2937
pseudococcus ,2250653,30417
sutura sagittalis ,5545047,6810
tempt ,793785,3595
existentialist philosopher ,10071557,13603
voice ,952182,36349
discomposure ,4904664,9054
trevino ,11348812,40690
salvadorian ,9700823,5286
mound ,3792048,30440
polite ,642379,21505
taste ,5749619,21060
kinswoman ,10237069,19678
pillars of hercules ,9392162,31832
epidendrum venosum ,12061614,30925
tinsel ,1677989,7643
cash machine ,2977058,22321
violoncellist ,9903501,17360
training ,4921900,22756
retrogression ,7426893,7299
elevator operator ,10050432,33318
dye ,283090,31631
arbitration ,7150850,26599
comer ,9810166,10662
peritrate ,3912328,262
attorneyship ,589217,35776
pleione ,12078954,10618
nanga parbat ,9365288,17469
salsify ,12027538,37291
cliff dwelling ,3042490,4998
houri ,9545000,34179
gas shell ,3421768,11045
tachygraphy ,6350127,21310
arc ,13874384,14130
appliance ,2729837,34788
phase ,14480065,40348
winter heliotrope ,12002651,38707
fault line ,8569591,34732
balcony ,2777734,18939
operation ,869583,37504
weakener ,9476521,32603
ndjamena ,8720280,13753
trigonometric function ,13786960,15113
soybean meal ,7569873,3511
bedizen ,1679254,40047
pass ,2523351,10293
demythologize ,135578,24778
the tempter ,9543353,7301
back ,9830194,5683
genus armillaria ,13231436,17878
west germanic language ,6946823,15962
genus cronartium ,13064247,33135
ironwood tree ,12317296,11742
subculture ,8288753,21875
countermarch ,291004,31130
presidential term ,15266265,5754
pleasure craft ,2932891,35549
prepuce ,5527085,32380
